Rk,Player,Tm,2022-23,2023-24,2024-25,2025-26,2026-27,2027-28,Signed Using,Guaranteed
1,Stephen Curry,GSW,48070014 ,51915615 ,55761216 ,59606817 ,,,Bird,"$215,353,662 "
2,Russell Westbrook,LAL,47063478 ,,,,,,Bird Rights,"$47,063,478 "
3,LeBron James,LAL,44474988 ,,,,,,Bird,"$44,474,988 "
4,Kevin Durant,BRK,44119845 ,47649433 ,51179021 ,54708609 ,,,Bird,"$197,656,908 "
5,Bradley Beal,WAS,43279250 ,46741590 ,50203930 ,53666270 ,57128610 ,,Bird,"$193,891,040 "
6,Damian Lillard,POR,42492492 ,45640084 ,48787676 ,58545211 ,63228828 ,,1st Round Pick,"$195,465,463 "
7,Giannis Antetokounmpo,MIL,42492492 ,45640084 ,48787676 ,51935268 ,,,Bird,"$136,920,252 "
8,Kawhi Leonard,LAC,42492492 ,45640084 ,48787676 ,,,,Early Bird,"$88,132,576 "
9,Paul George,LAC,42492492 ,45640084 ,48787676 ,,,,Bird,"$88,132,576 "
10,John Wall,HOU,47345760 ,6802950 ,,,,,,"$40,866,760 "
11,Klay Thompson,GSW,40600080 ,43219440 ,,,,,Bird Rights,"$83,819,520 "
12,Rudy Gobert,MIN,38172414 ,41000000 ,43827586 ,46655172 ,,,Bird,"$123,000,000 "
13,Anthony Davis,LAL,37980720 ,40600080 ,43219440 ,,,,Bird,"$78,580,800 "
14,Khris Middleton,MIL,37948276 ,40396552 ,,,,,Bird Rights,"$37,948,276 "
15,Jimmy Butler,MIA,37653300 ,45183960 ,48798677 ,52413394 ,,,Sign and Trade,"$131,635,937 "
16,Tobias Harris,PHI,37633050 ,39270150 ,,,,,Bird Rights,"$76,903,200 "
17,Luka Dončić,DAL,37096500 ,40064220 ,43031940 ,45999660 ,48967380 ,,Bird,"$215,159,700 "
18,Trae Young,ATL,37096500 ,40064220 ,43031940 ,45999660 ,48967380 ,,Bird,"$215,159,700 "
19,Zach LaVine,CHI,37096500 ,40064220 ,43031940 ,45999660 ,48967380 ,,Bird,"$166,192,320 "
20,Kyrie Irving,BRK,36934550 ,,,,,,Cap space,"$36,934,550 "
